,read1_total_reads_retention,read2_total_reads_retention,total_q30_before_after_comp,total_q20_before_after_comp,total_gc_before_after_comp,total_reads_before_after_comp,total_bases_before_after_comp,duplication_rate,low_quality_reads,too_many_N_reads,too_short_reads,read1_length_loss,read2_length_loss,percentage_reads_survived,percentage_bases_survived,insert_size,adapter_timmed_reads_percentage
count,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763
mean,99.41658361211772,99.41658361211772,0.8563714788677497,0.5257303592651404,0.7360396591134923,0.5834163878822682,9.752754396914353,13.95229870249017,281930.6972477064,14553.682830930537,3719.064220183486,9.557599495645663,9.554252891295077,99.41658361211772,90.24724560308564,146.86762778505897,35.70797543923234
std,0.40189087112689187,0.40189087112689187,0.7349750405081281,0.4492566681066283,0.6689043142944234,0.4018908711268917,5.71848150460074,7.497215127006999,253097.0806138237,21912.22211422794,3530.0263492011045,5.548769836526705,5.5464543782447535,0.40189087112689187,5.718481504600739,23.473658392514473,14.448235690003917
min,98.48158676341608,98.48158676341608,-0.04687624,-0.011307089,-0.496331995,1.8298462898009183e-05,1.2666096995893628,1.40541,0,0,10,1.3333333333333335,1.3333333333333335,98.48158676341608,63.13830761822249,87,9.333756578938116
25%,99.11670388659573,99.11670388659573,0.018508585457867238,0.01286627360327576,0.09479774958964039,0.05836512167250059,5.0934656401562695,6.82731,0,1025,135,5.333333333333334,5.333333333333334,99.11670388659573,87.08352649049513,128.5,25.650809979234147
50%,99.237706060902,99.237706060902,0.8978776666829053,0.5454976274274737,0.8148586968622312,0.7622939390980011,9.527333889409759,14.4101,304902,7568,3566,9.271523178807946,9.271523178807946,99.237706060902,90.47266611059024,146,34.273741680285355
75%,99.9416348783275,99.9416348783275,1.2883592416125742,0.7852761451506594,0.9988358893394688,0.8832961134042767,12.91647350950486,18.90425,467069,14974,5553,12.578616352201259,12.578616352201259,99.9416348783275,94.90653435984373,166,44.60705570387761
max,99.9999817015371,99.9999817015371,4.5861623606666155,2.598283376323049,4.915602735140815,1.5184132365839274,36.861692381777516,61.64659999999999,1222546,125706,16940,37.10691823899371,37.10691823899371,99.9999817015371,98.73339030041063,203,91.64920903110107
